latitude,longitude,storename,address,phone,timings
"<input class=""outlet-latitude"" type=""hidden"" value=""28.677891""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.205338""/>",      Max  ,"     Munciple No 31, Bungalow RoadKamla NagarNew Delhi - 110007 ",      +911149789266  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.536541""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.211585""/>",      Max  ,"     No C8, Main MarketMalviya NagarNew Delhi - 110017 ",      +919992202786  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.642911""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.106711""/>",      Max  ,"     Lower Ground Floor, Pacific Mall, Khayala, Najafgarh RoadSubhash NagarNew Delhi - 110018 ",      +919636159507  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.566729""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.24597799999999""/>",      Max  ,     No K3Lajpat NagarNew Delhi - 110024 ,      +911140348149  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.641529""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.120918""/>",      Max  ,     No J1/161Rajouri Garden MarketNew Delhi - 110027 ,      +911141532876  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.6895548""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.1344177""/>",      Max  ,"     Plot No 3, PP City Center Mall, Road No 44PitampuraNew Delhi - 110034 ",      +917503904459  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.5407453""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.1547094""/>",      Max  ,"     Lower Ground Floor, Ambience Mall, Nelson Mandela MargVasant KunjNew Delhi - 110070 ",      +919711915060  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.5964439""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.035871""/>",      Max  ,"     Anchor No 04, Gr Flr, Soul City Mall, Plot No 04Dwarka, Sector 13New Delhi - 110075 ",      +919015371837  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.677891""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.205338""/>",      Max  ,"     Munciple No 31, Bungalow RoadKamla NagarNew Delhi - 110007 ",      +911149789266  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.536541""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.211585""/>",      Max  ,"     No C8, Main MarketMalviya NagarNew Delhi - 110017 ",      +919992202786  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.642911""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.106711""/>",      Max  ,"     Lower Ground Floor, Pacific Mall, Khayala, Najafgarh RoadSubhash NagarNew Delhi - 110018 ",      +919636159507  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.566729""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.24597799999999""/>",      Max  ,     No K3Lajpat NagarNew Delhi - 110024 ,      +911140348149  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.641529""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.120918""/>",      Max  ,     No J1/161Rajouri Garden MarketNew Delhi - 110027 ,      +911141532876  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.6895548""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.1344177""/>",      Max  ,"     Plot No 3, PP City Center Mall, Road No 44PitampuraNew Delhi - 110034 ",      +917503904459  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.5407453""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.1547094""/>",      Max  ,"     Lower Ground Floor, Ambience Mall, Nelson Mandela MargVasant KunjNew Delhi - 110070 ",      +919711915060  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.5964439""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.035871""/>",      Max  ,"     Anchor No 04, Gr Flr, Soul City Mall, Plot No 04Dwarka, Sector 13New Delhi - 110075 ",      +919015371837  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.677891""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.205338""/>",      Max  ,"     Munciple No 31, Bungalow RoadKamla NagarNew Delhi - 110007 ",      +911149789266  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.536541""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.211585""/>",      Max  ,"     No C8, Main MarketMalviya NagarNew Delhi - 110017 ",      +919992202786  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.642911""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.106711""/>",      Max  ,"     Lower Ground Floor, Pacific Mall, Khayala, Najafgarh RoadSubhash NagarNew Delhi - 110018 ",      +919636159507  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.566729""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.24597799999999""/>",      Max  ,     No K3Lajpat NagarNew Delhi - 110024 ,      +911140348149  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.641529""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.120918""/>",      Max  ,     No J1/161Rajouri Garden MarketNew Delhi - 110027 ,      +911141532876  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.6895548""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.1344177""/>",      Max  ,"     Plot No 3, PP City Center Mall, Road No 44PitampuraNew Delhi - 110034 ",      +917503904459  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.5407453""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.1547094""/>",      Max  ,"     Lower Ground Floor, Ambience Mall, Nelson Mandela MargVasant KunjNew Delhi - 110070 ",      +919711915060  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.5964439""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.035871""/>",      Max  ,"     Anchor No 04, Gr Flr, Soul City Mall, Plot No 04Dwarka, Sector 13New Delhi - 110075 ",      +919015371837  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.677891""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.205338""/>",      Max  ,"     Munciple No 31, Bungalow RoadKamla NagarNew Delhi - 110007 ",      +911149789266  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.536541""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.211585""/>",      Max  ,"     No C8, Main MarketMalviya NagarNew Delhi - 110017 ",      +919992202786  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.642911""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.106711""/>",      Max  ,"     Lower Ground Floor, Pacific Mall, Khayala, Najafgarh RoadSubhash NagarNew Delhi - 110018 ",      +919636159507  ,     Closed for the day 
"<input class=""outlet-latitude"" type=""hidden"" value=""28.566729""/>","<input class=""outlet-longitude"" type=""hidden"" value=""77.24597799999999""/>",      Max  ,     No K3Lajpat NagarNew Delhi - 110024 ,      +911140348149  ,     Closed for the day 
